Year Opened,state,county,county_id,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,Power_Capacity_Level3_kW,Power_Capacity_Level1_kW,Power_Capacity_Level2_kW,Power_Capacity_kW,All_Ports,id
2021,California,Los Angeles County,6037,319.0,102.0,2337.0,63800.0,102.0,30381.0,94283.0,2758.0,6037
2019,Florida,Duval County,12031,0.0,100.0,17.0,0.0,100.0,221.0,321.0,117.0,12031
2022,California,San Mateo County,6081,62.0,99.0,308.0,12400.0,99.0,4004.0,16503.0,469.0,6081
2021,Florida,Brevard County,12009,12.0,90.0,21.0,2400.0,90.0,273.0,2763.0,123.0,12009
2020,Georgia,Clayton County,13063,0.0,74.0,37.0,0.0,74.0,481.0,555.0,111.0,13063
2013,Georgia,Fulton County,13121,0.0,60.0,10.0,0.0,60.0,130.0,190.0,70.0,13121
2019,Rhode Island,Newport County,44005,0.0,58.0,4.0,0.0,58.0,52.0,110.0,62.0,44005
2021,California,Santa Clara County,6085,90.0,55.0,2035.0,18000.0,55.0,26455.0,44510.0,2180.0,6085
2017,Georgia,Clayton County,13063,0.0,52.0,26.0,0.0,52.0,338.0,390.0,78.0,13063
2011,California,Sacramento County,6067,3.0,51.0,8.0,600.0,51.0,104.0,755.0,62.0,6067
2021,Mississippi,Harrison County,28047,12.0,49.0,1.0,2400.0,49.0,13.0,2462.0,62.0,28047
2019,Mississippi,Harrison County,28047,0.0,49.0,4.0,0.0,49.0,52.0,101.0,53.0,28047
2019,Washington,Kitsap County,53035,0.0,45.0,16.0,0.0,45.0,208.0,253.0,61.0,53035
2014,Minnesota,Ramsey County,27123,1.0,44.0,8.0,200.0,44.0,104.0,348.0,53.0,27123
2019,Connecticut,New London County,9011,0.0,41.0,4.0,0.0,41.0,52.0,93.0,45.0,9011
2019,California,Alameda County,6001,59.0,40.0,55.0,11800.0,40.0,715.0,12555.0,154.0,6001
2021,Virginia,Norfolk city,51710,14.0,38.0,9.0,2800.0,38.0,117.0,2955.0,61.0,51710
2021,Washington,Benton County,53005,0.0,36.0,47.0,0.0,36.0,611.0,647.0,83.0,53005
2021,Virginia,Fauquier County,51061,8.0,30.0,2.0,1600.0,30.0,26.0,1656.0,40.0,51061
2019,Virginia,Newport News city,51700,12.0,30.0,2.0,2400.0,30.0,26.0,2456.0,44.0,51700
2021,Florida,Duval County,12031,24.0,29.0,36.0,4800.0,29.0,468.0,5297.0,89.0,12031
2021,Washington,Kitsap County,53035,4.0,28.0,32.0,800.0,28.0,416.0,1244.0,64.0,53035
2013,Colorado,Denver County,8031,0.0,26.0,15.0,0.0,26.0,195.0,221.0,41.0,8031
2021,California,Alameda County,6001,36.0,26.0,708.0,7200.0,26.0,9204.0,16430.0,770.0,6001
2019,Texas,Tarrant County,48439,4.0,25.0,48.0,800.0,25.0,624.0,1449.0,77.0,48439
2019,Tennessee,Shelby County,47157,1.0,25.0,35.0,200.0,25.0,455.0,680.0,61.0,47157
2021,Virginia,Chesterfield County,51041,0.0,23.0,13.0,0.0,23.0,169.0,192.0,36.0,51041
2021,Illinois,Lake County,17097,14.0,23.0,78.0,2800.0,23.0,1014.0,3837.0,115.0,17097
2019,Virginia,Virginia Beach city,51810,1.0,23.0,0.0,200.0,23.0,0.0,223.0,24.0,51810
2016,California,Fresno County,6019,10.0,22.0,14.0,2000.0,22.0,182.0,2204.0,46.0,6019
2011,Ohio,Clermont County,39025,0.0,22.0,3.0,0.0,22.0,39.0,61.0,25.0,39025
2012,Rhode Island,Washington County,44009,0.0,20.0,10.0,0.0,20.0,130.0,150.0,30.0,44009
