fips,year,tot_pop
1001,1990,34353
1001,1991,35010
1001,1992,35985
1001,1993,36953
1001,1994,38186
1001,1995,39112
1001,1996,40207
1001,1997,41238
1001,1998,42106
1001,1999,42963
1001,2000,44021
1001,2001,44889
1001,2002,45909
1001,2003,46800
1001,2004,48366
1001,2005,49676
1001,2006,51328
1001,2007,52405
1001,2008,53277
1001,2009,54135
1001,2010,54632
1001,2011,55229
1001,2012,54970
1001,2013,54747
1001,2014,54922
1001,2015,54903
1001,2016,55302
1001,2017,55448
1001,2018,55533
1001,2019,55769
1001,2020,58915
1001,2021,59203
1001,2022,59726
1001,2023,60342
1001,2024,60342
1003,1990,98955
1003,1991,102420
1003,1992,106595
1003,1993,111416
1003,1994,116565
1003,1995,120896
1003,1996,125412
1003,1997,130164
1003,1998,134444
1003,1999,137555
1003,2000,141342
1003,2001,144875
1003,2002,147957
1003,2003,151509
1003,2004,156266
1003,2005,162183
1003,2006,168121
1003,2007,172404
1003,2008,175827
1003,2009,179406
1003,2010,183195
1003,2011,186579
1003,2012,190203
1003,2013,194978
1003,2014,199306
1003,2015,203101
1003,2016,207787
1003,2017,212737
1003,2018,218071
1003,2019,223565
1003,2020,233227
1003,2021,239439
1003,2022,246531
1003,2023,253507
1003,2024,253507
1005,1990,25505
1005,1991,26506
1005,1992,26941
1005,1993,27371
1005,1994,27751
1005,1995,27854
1005,1996,28298
1005,1997,28415
1005,1998,28841
1005,1999,28866
1005,2000,29015
1005,2001,28863
1005,2002,28653
1005,2003,28594
1005,2004,28287
1005,2005,28027
1005,2006,27861
1005,2007,27757
1005,2008,27808
1005,2009,27657
1005,2010,27411
1005,2011,27344
1005,2012,27172
1005,2013,26946
1005,2014,26768
1005,2015,26300
1005,2016,25828
1005,2017,25169
1005,2018,24887
1005,2019,24657
1005,2020,24969
1005,2021,24533
1005,2022,24700
1005,2023,24585
1005,2024,24585
1007,1990,16697
1007,1991,17071
1007,1992,17403
1007,1993,17757
1007,1994,18053
1007,1995,18507
1007,1996,18885
1007,1997,19388
1007,1998,19851
1007,1999,20560
1007,2000,19913
1007,2001,21028
1007,2002,21199
1007,2003,21399
1007,2004,21721
1007,2005,22042
1007,2006,22099
1007,2007,22438
1007,2008,22705
1007,2009,22941
1007,2010,22867
1007,2011,22736
1007,2012,22657
1007,2013,22510
1007,2014,22541
1007,2015,22553
1007,2016,22590
1007,2017,22532
1007,2018,22300
1007,2019,22313
1007,2020,22188
1007,2021,22359
1007,2022,21986
1007,2023,21868
1007,2024,21868
1009,1990,39473
1009,1991,40190
1009,1992,40822
1009,1993,41866
1009,1994,42520
1009,1995,44060
1009,1996,45344
1009,1997,47055
1009,1998,48824
1009,1999,50237
1009,2000,51107
1009,2001,51845
1009,2002,52551
1009,2003,53457
1009,2004,54124
1009,2005,54624
1009,2006,55485
1009,2007,56240
1009,2008,57055
1009,2009,57341
1009,2010,57338
1009,2011,57561
1009,2012,57585
1009,2013,57630
1009,2014,57536
1009,2015,57535
1009,2016,57487
1009,2017,57801
1009,2018,57770
1009,2019,57840
1009,2020,59107
1009,2021,59079
1009,2022,59516
1009,2023,59816
1009,2024,59816
1011,1990,11032
1011,1991,11188
1011,1992,11125
1011,1993,11219
1011,1994,11370
1011,1995,11431
1011,1996,11574
1011,1997,11624
1011,1998,11655
1011,1999,11755
1011,2000,11581
1011,2001,11358
1011,2002,11256
1011,2003,11316
1011,2004,11056
1011,2005,11011
1011,2006,10776
1011,2007,11011
1011,2008,10953
1011,2009,10987
1011,2010,10890
1011,2011,10680
1011,2012,10610
1011,2013,10557
1011,2014,10668
1011,2015,10404
1011,2016,10397
1011,2017,10181
1011,2018,10165
1011,2019,10144
1011,2020,10229
1011,2021,10143
1011,2022,10143
1011,2023,9897
1011,2024,9897
1013,1990,21886
1013,1991,21755
1013,1992,21794
1013,1993,21813
1013,1994,21851
1013,1995,21824
1013,1996,21863
1013,1997,21840
1013,1998,21718
1013,1999,21605
1013,2000,21325
1013,2001,21139
1013,2002,20803
1013,2003,20833
1013,2004,20870
1013,2005,20830
1013,2006,20815
1013,2007,20894
1013,2008,20949
1013,2009,20867
1013,2010,20951
1013,2011,20867
1013,2012,20672
1013,2013,20359
1013,2014,20332
1013,2015,20168
1013,2016,20040
1013,2017,19911
1013,2018,19675
1013,2019,19501
1013,2020,19025
1013,2021,18890
1013,2022,18668
1013,2023,18382
1013,2024,18382
1015,1990,116118
1015,1991,115247
1015,1992,115804
1015,1993,116324
1015,1994,116161
1015,1995,116790
1015,1996,116684
1015,1997,117254
1015,1998,117179
1015,1999,114910
1015,2000,111081
1015,2001,111266
1015,2002,111625
1015,2003,112705
1015,2004,113462
1015,2005,114477
1015,2006,115388
1015,2007,116211
1015,2008,117274
1015,2009,118363
1015,2010,118510
1015,2011,117767
1015,2012,117227
1015,2013,116528
1015,2014,115991
1015,2015,115550
1015,2016,115036
1015,2017,114746
1015,2018,114298
1015,2019,114070
1015,2020,116243
1015,2021,115678
1015,2022,115780
1015,2023,116429
1015,2024,116429
1017,1990,36884
1017,1991,36913
1017,1992,37045
1017,1993,37026
1017,1994,37066
1017,1995,37179
1017,1996,36907
1017,1997,36698
1017,1998,36808
1017,1999,36527
1017,2000,36571
1017,2001,36274
1017,2002,35965
1017,2003,35680
1017,2004,35463
1017,2005,35279
1017,2006,34945
1017,2007,34847
1017,2008,34563
1017,2009,34384
1017,2010,34157
1017,2011,34016
1017,2012,34088
1017,2013,34125
1017,2014,33964
1017,2015,33991
1017,2016,33742
1017,2017,33716
1017,2018,33570
1017,2019,33244
1017,2020,34651
1017,2021,34488
1017,2022,34164
1017,2023,34079
1017,2024,34079
1019,1990,19643
1019,1991,19876
1019,1992,20181
1019,1993,20712
1019,1994,21214
1019,1995,21871
1019,1996,22387
1019,1997,22911
1019,1998,23351
1019,1999,23605
1019,2000,24006
1019,2001,24182
1019,2002,24403
1019,2003,24591
1019,2004,24887
1019,2005,25031
1019,2006,25466
1019,2007,25553
1019,2008,25636
1019,2009,25854
1019,2010,25991
1019,2011,25993
1019,2012,25961
1019,2013,26022
1019,2014,25900
1019,2015,25739
1019,2016,25769
1019,2017,25822
1019,2018,26035
1019,2019,26254
1019,2020,24969
1019,2021,25074
1019,2022,25353
1019,2023,25666
1019,2024,25666
1021,1990,32550
1021,1991,33200
1021,1992,33503
1021,1993,34072
1021,1994,34739
1021,1995,35537
1021,1996,36467
1021,1997,37302
1021,1998,38069
1021,1999,38862
1021,2000,39897
1021,2001,40197
1021,2002,40683
1021,2003,41079
1021,2004,41534
1021,2005,41946
1021,2006,42318
1021,2007,42881
1021,2008,43239
1021,2009,43484
1021,2010,43682
1021,2011,43682
1021,2012,43572
1021,2013,43617
1021,2014,43751
1021,2015,43693
1021,2016,43854
1021,2017,44085
1021,2018,44084
1021,2019,44313
1021,2020,45057
1021,2021,45259
1021,2022,45848
1021,2023,46431
1021,2024,46431
1023,1990,15994
1023,1991,16044
1023,1992,16206
1023,1993,16228
1023,1994,16215
1023,1995,16195
1023,1996,16232
1023,1997,16162
1023,1998,16151
1023,1999,15931
1023,2000,15875
1023,2001,15677
1023,2002,15367
1023,2003,15199
1023,2004,14930
1023,2005,14545
1023,2006,14431
1023,2007,14216
1023,2008,14114
1023,2009,13976
1023,2010,13820
1023,2011,13608
1023,2012,13565
1023,2013,13401
1023,2014,13322
1023,2015,13237
1023,2016,13049
1023,2017,12923
1023,2018,12810
1023,2019,12577
1023,2020,12626
1023,2021,12548
1023,2022,12431
1023,2023,12252
