county_id,county,state,Sum Stations
1001,Autauga County,Alabama,No stations reported.
1003,Baldwin County,Alabama,No stations reported.
1005,Barbour County,Alabama,No stations reported.
1007,Bibb County,Alabama,No stations reported.
1009,Blount County,Alabama,No stations reported.
1011,Bullock County,Alabama,No stations reported.
1013,Butler County,Alabama,No stations reported.
1015,Calhoun County,Alabama,No stations reported.
1017,Chambers County,Alabama,No stations reported.
1019,Cherokee County,Alabama,No stations reported.
1021,Chilton County,Alabama,No stations reported.
1023,Choctaw County,Alabama,No stations reported.
1025,Clarke County,Alabama,No stations reported.
1027,Clay County,Alabama,No stations reported.
1029,Cleburne County,Alabama,No stations reported.
1031,Coffee County,Alabama,No stations reported.
1033,Colbert County,Alabama,No stations reported.
1035,Conecuh County,Alabama,No stations reported.
1037,Coosa County,Alabama,No stations reported.
1039,Covington County,Alabama,No stations reported.
1041,Crenshaw County,Alabama,No stations reported.
1043,Cullman County,Alabama,No stations reported.
1045,Dale County,Alabama,No stations reported.
1047,Dallas County,Alabama,No stations reported.
1049,DeKalb County,Alabama,No stations reported.
1051,Elmore County,Alabama,No stations reported.
1053,Escambia County,Alabama,No stations reported.
1055,Etowah County,Alabama,No stations reported.
1057,Fayette County,Alabama,No stations reported.
1059,Franklin County,Alabama,No stations reported.
1061,Geneva County,Alabama,No stations reported.
1063,Greene County,Alabama,No stations reported.
1065,Hale County,Alabama,No stations reported.
1067,Henry County,Alabama,No stations reported.
1069,Houston County,Alabama,No stations reported.
1071,Jackson County,Alabama,No stations reported.
1073,Jefferson County,Alabama,No stations reported.
1075,Lamar County,Alabama,No stations reported.
1077,Lauderdale County,Alabama,No stations reported.
1079,Lawrence County,Alabama,No stations reported.
1081,Lee County,Alabama,No stations reported.
1083,Limestone County,Alabama,No stations reported.
1085,Lowndes County,Alabama,No stations reported.
1087,Macon County,Alabama,No stations reported.
1089,Madison County,Alabama,No stations reported.
1091,Marengo County,Alabama,No stations reported.
1093,Marion County,Alabama,No stations reported.
1095,Marshall County,Alabama,No stations reported.
1097,Mobile County,Alabama,No stations reported.
1099,Monroe County,Alabama,No stations reported.
1101,Montgomery County,Alabama,No stations reported.
1103,Morgan County,Alabama,No stations reported.
1105,Perry County,Alabama,No stations reported.
1107,Pickens County,Alabama,No stations reported.
1109,Pike County,Alabama,No stations reported.
1111,Randolph County,Alabama,No stations reported.
1113,Russell County,Alabama,No stations reported.
1115,St. Clair County,Alabama,No stations reported.
1117,Shelby County,Alabama,No stations reported.
1119,Sumter County,Alabama,No stations reported.
1121,Talladega County,Alabama,No stations reported.
1123,Tallapoosa County,Alabama,No stations reported.
1125,Tuscaloosa County,Alabama,No stations reported.
1127,Walker County,Alabama,No stations reported.
1129,Washington County,Alabama,No stations reported.
1131,Wilcox County,Alabama,No stations reported.
1133,Winston County,Alabama,No stations reported.
2013,Aleutians East Borough,Alaska,No stations reported.
2016,Aleutians West Census Area,Alaska,No stations reported.
2020,Anchorage Municipality,Alaska,No stations reported.
2050,Bethel Census Area,Alaska,No stations reported.
2060,Bristol Bay Borough,Alaska,No stations reported.
2068,Denali Borough,Alaska,No stations reported.
2070,Dillingham Census Area,Alaska,No stations reported.
2090,Fairbanks North Star Borough,Alaska,No stations reported.
2100,Haines Borough,Alaska,No stations reported.
2110,Juneau City and Borough,Alaska,No stations reported.
2122,Kenai Peninsula Borough,Alaska,No stations reported.
2130,Ketchikan Gateway Borough,Alaska,No stations reported.
2150,Kodiak Island Borough,Alaska,No stations reported.
2164,Lake and Peninsula Borough,Alaska,No stations reported.
2170,Matanuska-Susitna Borough,Alaska,No stations reported.
2180,Nome Census Area,Alaska,No stations reported.
2185,North Slope Borough,Alaska,No stations reported.
2188,Northwest Arctic Borough,Alaska,No stations reported.
2201,Prince of Wales-Hyder Census Area,Alaska,No stations reported.
2220,Sitka City and Borough,Alaska,No stations reported.
2231,Skagway Municipality,Alaska,No stations reported.
2232,Skagway Municipality,Alaska,No stations reported.
2240,Southeast Fairbanks Census Area,Alaska,No stations reported.
2261,Valdez-Cordova Census Area,Alaska,No stations reported.
2270,Wade Hampton Census Area,Alaska,No stations reported.
2280,Wrangell-Petersburg Census Area,Alaska,No stations reported.
2282,Yakutat Borough                       (created after 1990),Alaska,No stations reported.
2290,Yukon-Koyukuk Census Area,Alaska,No stations reported.
4001,Apache County,Arizona,No stations reported.
4003,Cochise County,Arizona,No stations reported.
4005,Coconino County,Arizona,No stations reported.
4007,Gila County,Arizona,No stations reported.
4009,Graham County,Arizona,No stations reported.
4011,Greenlee County,Arizona,No stations reported.
4012,La Paz County,Arizona,No stations reported.
4013,Maricopa County,Arizona,No stations reported.
4015,Mohave County,Arizona,No stations reported.
4017,Navajo County,Arizona,No stations reported.
4019,Pima County,Arizona,No stations reported.
4021,Pinal County,Arizona,No stations reported.
4023,Santa Cruz County,Arizona,No stations reported.
4025,Yavapai County,Arizona,No stations reported.
4027,Yuma County,Arizona,No stations reported.
5001,Arkansas County,Arkansas,No stations reported.
5003,Ashley County,Arkansas,No stations reported.
5005,Baxter County,Arkansas,No stations reported.
5007,Benton County,Arkansas,No stations reported.
5009,Boone County,Arkansas,No stations reported.
5011,Bradley County,Arkansas,No stations reported.
5013,Calhoun County,Arkansas,No stations reported.
5015,Carroll County,Arkansas,No stations reported.
5017,Chicot County,Arkansas,No stations reported.
5019,Clark County,Arkansas,No stations reported.
5021,Clay County,Arkansas,No stations reported.
5023,Cleburne County,Arkansas,No stations reported.
5025,Cleveland County,Arkansas,No stations reported.
5027,Columbia County,Arkansas,No stations reported.
5029,Conway County,Arkansas,No stations reported.
5031,Craighead County,Arkansas,No stations reported.
5033,Crawford County,Arkansas,No stations reported.
5035,Crittenden County,Arkansas,No stations reported.
5037,Cross County,Arkansas,No stations reported.
5039,Dallas County,Arkansas,No stations reported.
5041,Desha County,Arkansas,No stations reported.
5043,Drew County,Arkansas,No stations reported.
5045,Faulkner County,Arkansas,No stations reported.
5047,Franklin County,Arkansas,No stations reported.
5049,Fulton County,Arkansas,No stations reported.
5051,Garland County,Arkansas,No stations reported.
5053,Grant County,Arkansas,No stations reported.
5055,Greene County,Arkansas,No stations reported.
5057,Hempstead County,Arkansas,No stations reported.
5059,Hot Spring County,Arkansas,No stations reported.
5061,Howard County,Arkansas,No stations reported.
5063,Independence County,Arkansas,No stations reported.
5065,Izard County,Arkansas,No stations reported.
5067,Jackson County,Arkansas,No stations reported.
5069,Jefferson County,Arkansas,No stations reported.
5071,Johnson County,Arkansas,No stations reported.
5073,Lafayette County,Arkansas,No stations reported.
5075,Lawrence County,Arkansas,No stations reported.
5077,Lee County,Arkansas,No stations reported.
5079,Lincoln County,Arkansas,No stations reported.
5081,Little River County,Arkansas,No stations reported.
5083,Logan County,Arkansas,No stations reported.
5085,Lonoke County,Arkansas,No stations reported.
5087,Madison County,Arkansas,No stations reported.
5089,Marion County,Arkansas,No stations reported.
5091,Miller County,Arkansas,No stations reported.
5093,Mississippi County,Arkansas,No stations reported.
5095,Monroe County,Arkansas,No stations reported.
5097,Montgomery County,Arkansas,No stations reported.
5099,Nevada County,Arkansas,No stations reported.
5101,Newton County,Arkansas,No stations reported.
5103,Ouachita County,Arkansas,No stations reported.
5105,Perry County,Arkansas,No stations reported.
5107,Phillips County,Arkansas,No stations reported.
5109,Pike County,Arkansas,No stations reported.
5111,Poinsett County,Arkansas,No stations reported.
5113,Polk County,Arkansas,No stations reported.
5115,Pope County,Arkansas,No stations reported.
5117,Prairie County,Arkansas,No stations reported.
5119,Pulaski County,Arkansas,No stations reported.
5121,Randolph County,Arkansas,No stations reported.
5123,St. Francis County,Arkansas,No stations reported.
5125,Saline County,Arkansas,No stations reported.
5127,Scott County,Arkansas,No stations reported.
5129,Searcy County,Arkansas,No stations reported.
5131,Sebastian County,Arkansas,No stations reported.
5133,Sevier County,Arkansas,No stations reported.
5135,Sharp County,Arkansas,No stations reported.
5137,Stone County,Arkansas,No stations reported.
5139,Union County,Arkansas,No stations reported.
5141,Van Buren County,Arkansas,No stations reported.
5143,Washington County,Arkansas,No stations reported.
5145,White County,Arkansas,No stations reported.
5147,Woodruff County,Arkansas,No stations reported.
5149,Yell County,Arkansas,No stations reported.
6001,Alameda County,California,No stations reported.
6003,Alpine County,California,No stations reported.
6005,Amador County,California,No stations reported.
6007,Butte County,California,No stations reported.
6009,Calaveras County,California,No stations reported.
6011,Colusa County,California,No stations reported.
6013,Contra Costa County,California,No stations reported.
6015,Del Norte County,California,No stations reported.
6017,El Dorado County,California,No stations reported.
6019,Fresno County,California,No stations reported.
6021,Glenn County,California,No stations reported.
6023,Humboldt County,California,No stations reported.
6025,Imperial County,California,No stations reported.
6027,Inyo County,California,No stations reported.
6029,Kern County,California,No stations reported.
6031,Kings County,California,No stations reported.
6033,Lake County,California,No stations reported.
6035,Lassen County,California,No stations reported.
6037,Los Angeles County,California,No stations reported.
6039,Madera County,California,No stations reported.
6041,Marin County,California,No stations reported.
6043,Mariposa County,California,No stations reported.
6045,Mendocino County,California,No stations reported.
6047,Merced County,California,No stations reported.
6049,Modoc County,California,No stations reported.
6051,Mono County,California,No stations reported.
6053,Monterey County,California,No stations reported.
6055,Napa County,California,No stations reported.
6057,Nevada County,California,No stations reported.
6059,Orange County,California,No stations reported.
6061,Placer County,California,No stations reported.
6063,Plumas County,California,No stations reported.
6065,Riverside County,California,No stations reported.
6067,Sacramento County,California,No stations reported.
6069,San Benito County,California,No stations reported.
6071,San Bernardino County,California,No stations reported.
6073,San Diego County,California,No stations reported.
6075,San Francisco County,California,No stations reported.
6077,San Joaquin County,California,No stations reported.
6079,San Luis Obispo County,California,No stations reported.
6081,San Mateo County,California,No stations reported.
6083,Santa Barbara County,California,No stations reported.
6085,Santa Clara County,California,No stations reported.
6087,Santa Cruz County,California,No stations reported.
6089,Shasta County,California,No stations reported.
6091,Sierra County,California,No stations reported.
6093,Siskiyou County,California,No stations reported.
6095,Solano County,California,No stations reported.
6097,Sonoma County,California,No stations reported.
6099,Stanislaus County,California,No stations reported.
6101,Sutter County,California,No stations reported.
6103,Tehama County,California,No stations reported.
6105,Trinity County,California,No stations reported.
6107,Tulare County,California,No stations reported.
6109,Tuolumne County,California,No stations reported.
6111,Ventura County,California,No stations reported.
6113,Yolo County,California,No stations reported.
6115,Yuba County,California,No stations reported.
8001,Adams County,Colorado,No stations reported.
8003,Alamosa County,Colorado,No stations reported.
8005,Arapahoe County,Colorado,No stations reported.
8007,Archuleta County,Colorado,No stations reported.
8009,Baca County,Colorado,No stations reported.
8011,Bent County,Colorado,No stations reported.
8013,Boulder County,Colorado,No stations reported.
8014,Broomfield County,Colorado,No stations reported.
8015,Chaffee County,Colorado,No stations reported.
8017,Cheyenne County,Colorado,No stations reported.
8019,Clear Creek County,Colorado,No stations reported.
8021,Conejos County,Colorado,No stations reported.
8023,Costilla County,Colorado,No stations reported.
8025,Crowley County,Colorado,No stations reported.
8027,Custer County,Colorado,No stations reported.
8029,Delta County,Colorado,No stations reported.
8031,Denver County,Colorado,No stations reported.
8033,Dolores County,Colorado,No stations reported.
8035,Douglas County,Colorado,No stations reported.
8037,Eagle County,Colorado,No stations reported.
8039,Elbert County,Colorado,No stations reported.
8041,El Paso County,Colorado,No stations reported.
8043,Fremont County,Colorado,No stations reported.
8045,Garfield County,Colorado,No stations reported.
8047,Gilpin County,Colorado,No stations reported.
8049,Grand County,Colorado,No stations reported.
8051,Gunnison County,Colorado,No stations reported.
8053,Hinsdale County,Colorado,No stations reported.
8055,Huerfano County,Colorado,No stations reported.
8057,Jackson County,Colorado,No stations reported.
8059,Jefferson County,Colorado,No stations reported.
8061,Kiowa County,Colorado,No stations reported.
8063,Kit Carson County,Colorado,No stations reported.
8065,Lake County,Colorado,No stations reported.
8067,La Plata County,Colorado,No stations reported.
8069,Larimer County,Colorado,No stations reported.
8071,Las Animas County,Colorado,No stations reported.
8073,Lincoln County,Colorado,No stations reported.
8075,Logan County,Colorado,No stations reported.
8077,Mesa County,Colorado,No stations reported.
8079,Mineral County,Colorado,No stations reported.
8081,Moffat County,Colorado,No stations reported.
8083,Montezuma County,Colorado,No stations reported.
8085,Montrose County,Colorado,No stations reported.
8087,Morgan County,Colorado,No stations reported.
8089,Otero County,Colorado,No stations reported.
8091,Ouray County,Colorado,No stations reported.
8093,Park County,Colorado,No stations reported.
8095,Phillips County,Colorado,No stations reported.
8097,Pitkin County,Colorado,No stations reported.
8099,Prowers County,Colorado,No stations reported.
8101,Pueblo County,Colorado,No stations reported.
8103,Rio Blanco County,Colorado,No stations reported.
8105,Rio Grande County,Colorado,No stations reported.
8107,Routt County,Colorado,No stations reported.
8109,Saguache County,Colorado,No stations reported.
8111,San Juan County,Colorado,No stations reported.
8113,San Miguel County,Colorado,No stations reported.
8115,Sedgwick County,Colorado,No stations reported.
8117,Summit County,Colorado,No stations reported.
8119,Teller County,Colorado,No stations reported.
8121,Washington County,Colorado,No stations reported.
8123,Weld County,Colorado,No stations reported.
8125,Yuma County,Colorado,No stations reported.
9001,Fairfield County,Connecticut,No stations reported.
9003,Hartford County,Connecticut,No stations reported.
9005,Litchfield County,Connecticut,No stations reported.
9007,Middlesex County,Connecticut,No stations reported.
9009,New Haven County,Connecticut,No stations reported.
9011,New London County,Connecticut,No stations reported.
9013,Tolland County,Connecticut,No stations reported.
9015,Windham County,Connecticut,No stations reported.
10001,Kent County,Delaware,No stations reported.
10003,New Castle County,Delaware,No stations reported.
10005,Sussex County,Delaware,No stations reported.
11001,District of Columbia,District Of Columbia,No stations reported.
12001,Alachua County,Florida,No stations reported.
12003,Baker County,Florida,No stations reported.
12005,Bay County,Florida,No stations reported.
12007,Bradford County,Florida,No stations reported.
12009,Brevard County,Florida,No stations reported.
12011,Broward County,Florida,No stations reported.
12013,Calhoun County,Florida,No stations reported.
12015,Charlotte County,Florida,No stations reported.
12017,Citrus County,Florida,No stations reported.
12019,Clay County,Florida,No stations reported.
12021,Collier County,Florida,No stations reported.
12023,Columbia County,Florida,No stations reported.
12025,Dade County,Florida,No stations reported.
12027,DeSoto County,Florida,No stations reported.
12029,Dixie County,Florida,No stations reported.
12031,Duval County,Florida,No stations reported.
12033,Escambia County,Florida,No stations reported.
12035,Flagler County,Florida,No stations reported.
12037,Franklin County,Florida,No stations reported.
12039,Gadsden County,Florida,No stations reported.
12041,Gilchrist County,Florida,No stations reported.
12043,Glades County,Florida,No stations reported.
12045,Gulf County,Florida,No stations reported.
12047,Hamilton County,Florida,No stations reported.
12049,Hardee County,Florida,No stations reported.
12051,Hendry County,Florida,No stations reported.
12053,Hernando County,Florida,No stations reported.
12055,Highlands County,Florida,No stations reported.
12057,Hillsborough County,Florida,No stations reported.
12059,Holmes County,Florida,No stations reported.
12061,Indian River County,Florida,No stations reported.
12063,Jackson County,Florida,No stations reported.
12065,Jefferson County,Florida,No stations reported.
12067,Lafayette County,Florida,No stations reported.
12069,Lake County,Florida,No stations reported.
12071,Lee County,Florida,No stations reported.
12073,Leon County,Florida,No stations reported.
12075,Levy County,Florida,No stations reported.
12077,Liberty County,Florida,No stations reported.
12079,Madison County,Florida,No stations reported.
12081,Manatee County,Florida,No stations reported.
12083,Marion County,Florida,No stations reported.
12085,Martin County,Florida,No stations reported.
12086,Miami-Dade County,Florida,No stations reported.
12087,Monroe County,Florida,No stations reported.
12089,Nassau County,Florida,No stations reported.
12091,Okaloosa County,Florida,No stations reported.
12093,Okeechobee County,Florida,No stations reported.
12095,Orange County,Florida,No stations reported.
12097,Osceola County,Florida,No stations reported.
12099,Palm Beach County,Florida,No stations reported.
12101,Pasco County,Florida,No stations reported.
12103,Pinellas County,Florida,No stations reported.
12105,Polk County,Florida,No stations reported.
12107,Putnam County,Florida,No stations reported.
12109,St. Johns County,Florida,No stations reported.
12111,St. Lucie County,Florida,No stations reported.
12113,Santa Rosa County,Florida,No stations reported.
12115,Sarasota County,Florida,No stations reported.
12117,Seminole County,Florida,No stations reported.
12119,Sumter County,Florida,No stations reported.
12121,Suwannee County,Florida,No stations reported.
12123,Taylor County,Florida,No stations reported.
12125,Union County,Florida,No stations reported.
12127,Volusia County,Florida,No stations reported.
12129,Wakulla County,Florida,No stations reported.
12131,Walton County,Florida,No stations reported.
12133,Washington County,Florida,No stations reported.
13001,Appling County,Georgia,No stations reported.
13003,Atkinson County,Georgia,No stations reported.
13005,Bacon County,Georgia,No stations reported.
13007,Baker County,Georgia,No stations reported.
13009,Baldwin County,Georgia,No stations reported.
13011,Banks County,Georgia,No stations reported.
13013,Barrow County,Georgia,No stations reported.
13015,Bartow County,Georgia,No stations reported.
13017,Ben Hill County,Georgia,No stations reported.
13019,Berrien County,Georgia,No stations reported.
13021,Bibb County,Georgia,No stations reported.
13023,Bleckley County,Georgia,No stations reported.
13025,Brantley County,Georgia,No stations reported.
13027,Brooks County,Georgia,No stations reported.
13029,Bryan County,Georgia,No stations reported.
13031,Bulloch County,Georgia,No stations reported.
13033,Burke County,Georgia,No stations reported.
13035,Butts County,Georgia,No stations reported.
13037,Calhoun County,Georgia,No stations reported.
13039,Camden County,Georgia,No stations reported.
13043,Candler County,Georgia,No stations reported.
13045,Carroll County,Georgia,No stations reported.
13047,Catoosa County,Georgia,No stations reported.
13049,Charlton County,Georgia,No stations reported.
13051,Chatham County,Georgia,No stations reported.
13053,Chattahoochee County,Georgia,No stations reported.
13055,Chattooga County,Georgia,No stations reported.
13057,Cherokee County,Georgia,No stations reported.
13059,Clarke County,Georgia,No stations reported.
13061,Clay County,Georgia,No stations reported.
13063,Clayton County,Georgia,No stations reported.
13065,Clinch County,Georgia,No stations reported.
13067,Cobb County,Georgia,No stations reported.
13069,Coffee County,Georgia,No stations reported.
13071,Colquitt County,Georgia,No stations reported.
13073,Columbia County,Georgia,No stations reported.
13075,Cook County,Georgia,No stations reported.
13077,Coweta County,Georgia,No stations reported.
13079,Crawford County,Georgia,No stations reported.
13081,Crisp County,Georgia,No stations reported.
13083,Dade County,Georgia,No stations reported.
13085,Dawson County,Georgia,No stations reported.
13087,Decatur County,Georgia,No stations reported.
13089,DeKalb County,Georgia,No stations reported.
13091,Dodge County,Georgia,No stations reported.
13093,Dooly County,Georgia,No stations reported.
13095,Dougherty County,Georgia,No stations reported.
13097,Douglas County,Georgia,No stations reported.
13099,Early County,Georgia,No stations reported.
13101,Echols County,Georgia,No stations reported.
13103,Effingham County,Georgia,No stations reported.
13105,Elbert County,Georgia,No stations reported.
13107,Emanuel County,Georgia,No stations reported.
13109,Evans County,Georgia,No stations reported.
13111,Fannin County,Georgia,No stations reported.
13113,Fayette County,Georgia,No stations reported.
13115,Floyd County,Georgia,No stations reported.
13117,Forsyth County,Georgia,No stations reported.
13119,Franklin County,Georgia,No stations reported.
13121,Fulton County,Georgia,No stations reported.
13123,Gilmer County,Georgia,No stations reported.
13125,Glascock County,Georgia,No stations reported.
13127,Glynn County,Georgia,No stations reported.
13129,Gordon County,Georgia,No stations reported.
13131,Grady County,Georgia,No stations reported.
13133,Greene County,Georgia,No stations reported.
13135,Gwinnett County,Georgia,No stations reported.
13137,Habersham County,Georgia,No stations reported.
13139,Hall County,Georgia,No stations reported.
13141,Hancock County,Georgia,No stations reported.
13143,Haralson County,Georgia,No stations reported.
13145,Harris County,Georgia,No stations reported.
13147,Hart County,Georgia,No stations reported.
13149,Heard County,Georgia,No stations reported.
13151,Henry County,Georgia,No stations reported.
13153,Houston County,Georgia,No stations reported.
13155,Irwin County,Georgia,No stations reported.
13157,Jackson County,Georgia,No stations reported.
13159,Jasper County,Georgia,No stations reported.
13161,Jeff Davis County,Georgia,No stations reported.
13163,Jefferson County,Georgia,No stations reported.
13165,Jenkins County,Georgia,No stations reported.
13167,Johnson County,Georgia,No stations reported.
13169,Jones County,Georgia,No stations reported.
13171,Lamar County,Georgia,No stations reported.
13173,Lanier County,Georgia,No stations reported.
13175,Laurens County,Georgia,No stations reported.
13177,Lee County,Georgia,No stations reported.
13179,Liberty County,Georgia,No stations reported.
13181,Lincoln County,Georgia,No stations reported.
13183,Long County,Georgia,No stations reported.
13185,Lowndes County,Georgia,No stations reported.
13187,Lumpkin County,Georgia,No stations reported.
13189,McDuffie County,Georgia,No stations reported.
13191,McIntosh County,Georgia,No stations reported.
13193,Macon County,Georgia,No stations reported.
13195,Madison County,Georgia,No stations reported.
13197,Marion County,Georgia,No stations reported.
13199,Meriwether County,Georgia,No stations reported.
13201,Miller County,Georgia,No stations reported.
13205,Mitchell County,Georgia,No stations reported.
13207,Monroe County,Georgia,No stations reported.
13209,Montgomery County,Georgia,No stations reported.
13211,Morgan County,Georgia,No stations reported.
13213,Murray County,Georgia,No stations reported.
13215,Muscogee County,Georgia,No stations reported.
13217,Newton County,Georgia,No stations reported.
13219,Oconee County,Georgia,No stations reported.
13221,Oglethorpe County,Georgia,No stations reported.
13223,Paulding County,Georgia,No stations reported.
13225,Peach County,Georgia,No stations reported.
13227,Pickens County,Georgia,No stations reported.
13229,Pierce County,Georgia,No stations reported.
13231,Pike County,Georgia,No stations reported.
13233,Polk County,Georgia,No stations reported.
13235,Pulaski County,Georgia,No stations reported.
13237,Putnam County,Georgia,No stations reported.
13239,Quitman County,Georgia,No stations reported.
13241,Rabun County,Georgia,No stations reported.
13243,Randolph County,Georgia,No stations reported.
13245,Richmond County,Georgia,No stations reported.
13247,Rockdale County,Georgia,No stations reported.
13249,Schley County,Georgia,No stations reported.
13251,Screven County,Georgia,No stations reported.
13253,Seminole County,Georgia,No stations reported.
13255,Spalding County,Georgia,No stations reported.
13257,Stephens County,Georgia,No stations reported.
13259,Stewart County,Georgia,No stations reported.
13261,Sumter County,Georgia,No stations reported.
13263,Talbot County,Georgia,No stations reported.
13265,Taliaferro County,Georgia,No stations reported.
13267,Tattnall County,Georgia,No stations reported.
13269,Taylor County,Georgia,No stations reported.
13271,Telfair County,Georgia,No stations reported.
13273,Terrell County,Georgia,No stations reported.
13275,Thomas County,Georgia,No stations reported.
13277,Tift County,Georgia,No stations reported.
13279,Toombs County,Georgia,No stations reported.
13281,Towns County,Georgia,No stations reported.
13283,Treutlen County,Georgia,No stations reported.
13285,Troup County,Georgia,No stations reported.
13287,Turner County,Georgia,No stations reported.
13289,Twiggs County,Georgia,No stations reported.
13291,Union County,Georgia,No stations reported.
13293,Upson County,Georgia,No stations reported.
13295,Walker County,Georgia,No stations reported.
13297,Walton County,Georgia,No stations reported.
13299,Ware County,Georgia,No stations reported.
13301,Warren County,Georgia,No stations reported.
13303,Washington County,Georgia,No stations reported.
13305,Wayne County,Georgia,No stations reported.
13307,Webster County,Georgia,No stations reported.
13309,Wheeler County,Georgia,No stations reported.
13311,White County,Georgia,No stations reported.
13313,Whitfield County,Georgia,No stations reported.
13315,Wilcox County,Georgia,No stations reported.
13317,Wilkes County,Georgia,No stations reported.
13319,Wilkinson County,Georgia,No stations reported.
13321,Worth County,Georgia,No stations reported.
15001,Hawaii County,Hawaii,No stations reported.
15003,Honolulu County,Hawaii,No stations reported.
15005,Kalawao County,Hawaii,No stations reported.
15007,Kauai County,Hawaii,No stations reported.
15009,Maui County,Hawaii,No stations reported.
16001,Ada County,Idaho,No stations reported.
16003,Adams County,Idaho,No stations reported.
16005,Bannock County,Idaho,No stations reported.
16007,Bear Lake County,Idaho,No stations reported.
16009,Benewah County,Idaho,No stations reported.
