SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,RBIRTH2021,RBIRTH2022,RBIRTH2023,RDEATH2021,RDEATH2022,RDEATH2023,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RNETMIG2021,RNETMIG2022,RNETMIG2023
40,3,6,1,0,Alabama,Alabama,5024294,5031864,5050380,5073903,5108468,7570,18516,23523,34565,13867,57184,58106,58251,15165,69135,67208,59813,-1298,-11951,-9102,-1562,125,1806,4374,5384,9615,27715,28464,30744,9740,29521,32838,36128,-872,946,-213,-1,127914,131372,134653,141654,144014,11.34350647,11.47854125,11.4415395,13.71420886,13.2765945,11.74834427,-2.370702395,-1.798053255,-0.306804771,0.358253579,0.864061188,1.057514011,5.497784025,5.622916704,6.038672133,5.856037604,6.486977893,7.096186144
50,3,6,1,1,Alabama,Autauga County,58809,58915,59203,59726,60342,106,288,523,616,162,686,706,714,176,696,687,621,-14,-10,19,93,0,15,22,34,100,242,507,491,100,257,529,525,20,41,-25,-2,484,484,484,484,484,11.61550314,11.87262989,11.89326049,11.78482534,11.55311152,10.34413832,-0.169322203,0.319518368,1.549122164,0.253983305,0.369968637,0.566345737,4.097597318,8.526095402,8.178698737,4.351580623,8.896064038,8.745044475
50,3,6,1,3,Alabama,Baldwin County,231768,233227,239439,246531,253507,1459,6212,7092,6976,560,2337,2511,2531,602,2948,3022,2640,-42,-611,-511,-109,11,105,250,291,1613,6972,7036,6804,1624,7077,7286,7095,-123,-254,317,-10,3549,3448,3351,3468,3493,9.888589406,10.33397123,10.12323063,12.47392451,12.43698171,10.5591975,-2.585335099,-2.103010474,-0.435966867,0.444288356,1.028870095,1.163911543,29.50074683,28.95651995,27.21393174,29.94503518,29.98539005,28.37784328
50,3,6,1,5,Alabama,Barbour County,25229,24969,24533,24700,24585,-260,-436,167,-115,60,270,278,267,92,390,363,350,-32,-120,-85,-83,0,0,2,13,-186,-313,237,-45,-186,-313,239,-32,-42,-3,13,0,2721,2482,2248,2702,2702,10.90865016,11.29323828,10.83493964,15.75693911,14.74620681,14.20310439,-4.848288958,-3.452968537,-3.368164756,0,0.081246319,0.527543877,-12.6459537,9.627688745,-1.826113422,-12.6459537,9.708935064,-1.298569544
50,3,6,1,7,Alabama,Bibb County,22301,22188,22359,21986,21868,-113,171,-373,-118,56,240,236,240,55,325,314,290,1,-85,-78,-50,0,1,1,1,-101,254,-303,-69,-101,255,-302,-68,-13,1,7,0,2141,2060,1994,2025,1894,10.77513637,10.64381554,10.94540977,14.59133051,14.16168677,13.22570347,-3.816194132,-3.517871237,-2.280293702,0.044896402,0.045100913,0.045605874,11.403686,-13.66557673,-3.146805309,11.4485824,-13.62047581,-3.101199434
50,3,6,1,9,Alabama,Blount County,59130,59107,59079,59516,59816,-23,-28,437,300,137,654,693,698,199,875,846,776,-62,-221,-153,-78,1,9,8,24,21,141,589,358,22,150,597,382,17,43,-7,-4,616,616,616,616,616,11.0673007,11.68683334,11.69845473,14.80716836,14.2670433,13.00573191,-3.739867666,-2.580209958,-1.307277176,0.152302303,0.134912939,0.402239131,2.386069416,9.932965133,6.00006704,2.538371719,10.06787807,6.402306171
50,3,6,1,11,Alabama,Bullock County,10360,10229,10143,10143,9897,-131,-86,0,-246,24,111,103,102,41,160,138,133,-17,-49,-35,-31,0,1,5,6,-94,-42,32,-219,-94,-41,37,-213,-20,4,-2,-2,1705,1631,1578,1648,1615,10.89731003,10.15478655,10.17964072,15.70783428,13.60544218,13.27345309,-4.810524249,-3.450655625,-3.093812375,0.098173964,0.492950804,0.598802395,-4.123306499,3.154885143,-21.85628743,-4.025132535,3.647835946,-21.25748503
50,3,6,1,13,Alabama,Butler County,19046,19025,18890,18668,18382,-21,-135,-222,-286,47,227,207,212,88,297,312,299,-41,-70,-105,-87,0,5,6,8,15,-75,-117,-207,15,-70,-111,-199,5,5,-6,0,285,285,285,285,285,11.97415271,11.02295117,11.4439946,15.66662271,16.61430321,16.14035088,-3.692469999,-5.591352042,-4.696356275,0.263747857,0.319505831,0.431848853,-3.956217856,-6.230363704,-11.17408907,-3.692469999,-5.910857873,-10.74224022
50,3,6,1,15,Alabama,Calhoun County,116441,116243,115678,115780,116429,-198,-565,102,649,305,1250,1334,1346,397,1843,1852,1649,-92,-593,-518,-303,0,12,22,29,-115,-70,635,923,-115,-58,657,952,9,86,-37,0,5632,5554,5407,5749,5936,10.77953269,11.52692929,11.59300458,15.89334299,16.00290334,14.20272255,-5.113810306,-4.475974043,-2.60971797,0.103483514,0.190099284,0.249774987,-0.60365383,5.486956597,7.949734937,-0.500170317,5.677055881,8.199509924
50,3,6,1,17,Alabama,Chambers County,34772,34651,34488,34164,34079,-121,-163,-324,-85,87,392,401,398,167,592,558,511,-80,-200,-157,-113,2,22,49,55,-51,-6,-208,-26,-49,16,-159,29,8,21,-8,-1,860,860,856,860,860,11.33947555,11.68210686,11.66419999,17.12492226,16.25589932,14.97589496,-5.785446709,-4.573792461,-3.311694972,0.636399138,1.427489367,1.611886934,-0.173563401,-6.059546699,-0.761982914,0.462835737,-4.632057333,0.84990402
