OBJECTID,fuel_type_code,open_date,status_code,station_name,city,country,state,street_address,zip,longitude,latitude,county_id,county,Reason for Drop,,,
4080,ELEC,,T,Landers Nissan,Southaven,US,MS,371 Goodman Rd,38671,-89.9855855,34.9616327,28033,DeSoto County,No Open Date,These are the OBJECTIDS for electric chargers that are status code T or E that were dropped from the analysis due to the listed reasons.,,
5519,ELEC,,T,City of Houston Fleet - Tranquility Park Garage,Houston,US,TX,501 Rusk St,77002,-95.368057,29.761074,48201,Harris County,No Open Date,,,
16064,ELEC,10/6/16 0:00,E,Museum of Flight - Tesla Destination,Rome,US,GA,304 Russell Field Rd NE,30165,-85.173093,35.189909,,Hamilton County,No County Id assignment - mismatch of lat/long and name/city/address in data,,,
18953,ELEC,2/1/19 0:00,E,NSY Portsmouth / N00102-B59,Kittery,US,ME,Wyman Avenue,3904,-70.7801,43.0501,,Rockingham County,No County Id assignment - mismatch of lat/long and name/city/address in data,,,
18954,ELEC,2/1/19 0:00,E,NSY Portsmouth / N00102-B154,Kittery,US,ME,Goodrich Avenue,3904,-70.7801,43.0501,,Rockingham County,No County Id assignment - mismatch of lat/long and name/city/address in data,,,
18975,ELEC,2/1/19 0:00,E,Naval Facilities Engineering Command - Naval Sea Systems Command,Keyport,US,WA,610 Dowell Rd,98345,-157.9382,21.3563,15003,Honolulu County,Mismatch of reported city/state/address and lat/long coordinates (not in same location),,,
19167,ELEC,12/19/18 0:00,E,Jekyll Ocean Club - Tesla Destination,Jekyll Island,US,GA,80 Ocean Wy,31527,-73.352053,44.335154,,Essex County,No County Id assignment - mismatch of lat/long and name/city/address in data,,,
20292,ELEC,10/15/19 0:00,E,South Lake Tahoe Library,South Lake Tahoe,US,CA,1000 Rufus Allen Blvd,96150,-119.97346,38.994762,,Douglas County,No County Id assignment - mismatch of lat/long and name/city/address in data,,,
39308,ELEC,1/27/21 0:00,E,JLR SAN JUAN SHOP02,San Juan,US,PR,120 John F. Kennedy Ave,920,-66.097746,18.42107,72127,San Juan Municipio,Puerto Rico Counties were dropped,,,
40448,ELEC,1/15/21 0:00,E,MDC Guaynabo,Guaynabo,US,FL,652 Carretera 28,965,-66.112209,18.423135,72061,Guaynabo Municipio,Mismatch of reported city/state/address and lat/long coordinates (not in same location),,,
40605,ELEC,1/15/21 0:00,E,NAS JRB New Orleans,Belle Chasse,US,MS,Naval Air Station Joint Reserve Base New Orleans,39309,-90.0101,29.8201,22075,Plaquemines Parish,Mismatch of reported city/state/address and lat/long coordinates (not in same location),,,
41433,ELEC,3/25/21 0:00,T,Bahia Beach and Resort Golf,Rio Grande,US,PR,Bahia Beach Resort & Golf Club 7000 Bahia Bea,745,-65.819748,18.412531,72119,Río Grande Municipio,Puerto Rico Counties were dropped,,,
43022,ELEC,5/27/21 0:00,T,Estate The Yards,Washington,US,DC,3 Tingey Square SE,20003,-93.238092,44.981108,27053,Hennepin County,Mismatch of reported city/state/address and lat/long coordinates (not in same location),,,
46459,ELEC,9/21/21 0:00,E,NWD,Foster,US,OR,211 E 7th St,97345,-75.602827,38.632143,,Sussex County,No County Id assignment - mismatch of lat/long and name/city/address in data,,,
46503,ELEC,9/21/21 0:00,E,WAD,Hinton,US,WV,5900 Macarthur Blvd,25951,-77.112748,38.937506,11001,District of Columbia,Mismatch of reported city/state/address and lat/long coordinates (not in same location),,,
50258,ELEC,2/2/22 0:00,E,Las Verandas Condominium,Rio Grande,US,PR,C54M+G8W,745,-65.756678,18.389079,72119,Río Grande Municipio,Puerto Rico Counties were dropped,,,
51499,ELEC,,E,MVIC 3,Broomfield,US,CO,12202 Airport Way,80021,-105.104325,39.914872,8014,Broomfield County,No Open Date,,,
51500,ELEC,,E,MVIC 4,Broomfield,US,CO,12002 Airport Way,80021,-105.106581,39.913159,8014,Broomfield County,No Open Date,,,
