Year,State,Total EV registration
2016,Alabama,1400
2016,Alaska,400
2016,Arizona,9100
2016,Arkansas,700
2016,California,258200
2016,Colorado,9100
2016,Connecticut,4800
2016,Delaware,1000
2016,District of Columbia,1100
2016,Florida,21700
2016,Georgia,22000
2016,Hawaii,5400
2016,Idaho,1000
2016,Illinois,11800
2016,Indiana,3700
2016,Iowa,1600
2016,Kansas,1600
2016,Kentucky,1400
2016,Louisiana,900
2016,Maine,1300
2016,Maryland,8200
2016,Massachusetts,8800
2016,Michigan,13200
2016,Minnesota,4000
2016,Mississippi,300
2016,Missouri,3500
2016,Montana,400
2016,Nebraska,900
2016,Nevada,3400
2016,New Hampshire,1400
2016,New Jersey,9700
2016,New Mexico,1100
2016,New York,18200
2016,North Carolina,6500
2016,North Dakota,100
2016,Ohio,7000
2016,Oklahoma,1300
2016,Oregon,12000
2016,Pennsylvania,8600
2016,Rhode Island,900
2016,South Carolina,2000
2016,South Dakota,300
2016,Tennessee,4300
2016,Texas,19900
2016,Utah,4200
2016,Vermont,1500
2016,Virginia,7300
2016,Washington,21300
2016,West Virginia,400
2016,Wisconsin,5200
2016,Wyoming,200
2017,Alabama,1900
2017,Alaska,700
2017,Arizona,13000
2017,Arkansas,900
2017,California,349300
2017,Colorado,13200
2017,Connecticut,6900
2017,Delaware,1300
2017,District of Columbia,1500
2017,Florida,29300
2017,Georgia,19600
2017,Hawaii,7100
2017,Idaho,1500
2017,Illinois,16000
2017,Indiana,5100
2017,Iowa,2100
2017,Kansas,2300
2017,Kentucky,1900
2017,Louisiana,1300
2017,Maine,1800
2017,Maryland,10900
2017,Massachusetts,13500
2017,Michigan,14500
2017,Minnesota,5400
2017,Mississippi,500
2017,Missouri,5400
2017,Montana,600
2017,Nebraska,1300
2017,Nevada,5100
2017,New Hampshire,2100
2017,New Jersey,15000
2017,New Mexico,1700
2017,New York,26500
2017,North Carolina,9200
2017,North Dakota,300
2017,Ohio,9300
2017,Oklahoma,2100
2017,Oregon,16000
2017,Pennsylvania,11900
2017,Rhode Island,1200
2017,South Carolina,2800
2017,South Dakota,300
2017,Tennessee,5000
2017,Texas,27000
2017,Utah,6100
2017,Vermont,2300
2017,Virginia,11200
2017,Washington,30800
2017,West Virginia,500
2017,Wisconsin,6300
2017,Wyoming,200
2018,Alabama,2800
2018,Alaska,800
2018,Arizona,20300
2018,Arkansas,1400
2018,California,488500
2018,Colorado,19900
2018,Connecticut,10200
2018,Delaware,2000
2018,District of Columbia,2100
2018,Florida,44800
2018,Georgia,22900
2018,Hawaii,9000
2018,Idaho,2200
2018,Illinois,23500
2018,Indiana,7500
2018,Iowa,3100
2018,Kansas,3500
2018,Kentucky,2700
2018,Louisiana,1800
2018,Maine,2600
2018,Maryland,16800
2018,Massachusetts,21900
2018,Michigan,16500
2018,Minnesota,9700
2018,Mississippi,800
2018,Missouri,7700
2018,Montana,900
2018,Nebraska,1900
2018,Nevada,8000
2018,New Hampshire,3200
2018,New Jersey,24200
2018,New Mexico,2600
2018,New York,39800
2018,North Carolina,13800
2018,North Dakota,300
2018,Ohio,13600
2018,Oklahoma,5000
2018,Oregon,22200
2018,Pennsylvania,17500
2018,Rhode Island,1900
2018,South Carolina,4200
2018,South Dakota,500
2018,Tennessee,6800
2018,Texas,39200
2018,Utah,9000
2018,Vermont,3100
2018,Virginia,18000
2018,Washington,43900
2018,West Virginia,700
2018,Wisconsin,8200
2018,Wyoming,400
2019,Alabama,3800
2019,Alaska,1100
2019,Arizona,29100
2019,Arkansas,1900
2019,California,597000
2019,Colorado,28500
2019,Connecticut,12600
2019,Delaware,2600
2019,District of Columbia,3100
2019,Florida,60700
2019,Georgia,27400
2019,Hawaii,11700
2019,Idaho,3100
